"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COMMENT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"EU_ROHS_COMPLIANCE";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"SF_SKU";"SPICEPREFIX";"TE_PURCHASE_URL";"VALUE";
"C1";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07876";"";"";"";"22pF";
"C2";"22pF";"22PF-0603-50V-5%";"0603";"22pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07876";"";"";"";"22pF";
"C3";"";"0.1UF-0805-100V-10%";"0805";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"";"0.1UF-0805-100V-10%";"0805";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"";"0.1UF-0805-100V-10%";"0805";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"";"0.1UF-0805-100V-10%";"0805";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"0.1UF-0805-100V-10%";"0.1UF-0805-100V-10%";"0805";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"0.01u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C9";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C10";"0.22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C11";"15uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C12";"10pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C13";"10pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C14";"10k";"ERJ-PB6";"R0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C15";"5.76k";"ERJ-PB6";"R0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C16";"100uF";"EEE-1HA101UP";"PANASONIC_D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"RFD3055LESM9A";"RFD3055LESM9A";"DPAK229P990X239-4N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"SBR1U40LP";"SBR1U40LP";"3-XDFN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"F1";"C1Q3751206";"C1Q3751206";"C1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"H1";"HES";"AH1807-P-B";"SIP3-UA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"HC-05";"HC-05";"HC-05HC-05";"XCVR_HC-05";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"640455-2";"640455-2";"2-PIN_CONNECTOR";"2 Pin Rectangular Connector";"Unavailable";"640455-2";" MTA-100 2 Position 2.54 mm Single Row Right Angle Wire to Board Header ";"";"";"Compliant";"TE Connectivity";"640455-2";"";"";"";"None";"None";"";"";"";"https://www.te.com/usa-en/product-640455-2.html?te_bu=Cor&te_type=disp&te_campaign=seda_glo_cor-seda-global-disp-prtnr-fy19-seda-model-bom-cta_sma-317_1&elqCampaignId=32493";"";
"J2";"CORTEX_DEBUG_PTH";"CORTEX_DEBUG_PTH";"2X5-PTH-1.27MM";"Cortex Debug Connector - 10 pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J3";"2061-602/998-404";"2061-602/998-404";"WAGO_2061-602/998-404";"2061 Series 2 Position 20-16 AWG 6 mm Spacing Surface Mount Terminal Block";"Unavailable";"";" 2061 Series 2 Position 20-16 AWG 6 mm Spacing Surface Mount Terminal Block ";"";"";"";"WAGO";"2061-602/998-404";"";"";"";"None";"None";"";"";"";"";"";
"L1";"10uH";"CBC3225T150KR1210";"L3225M";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED1";"BLUE";"LED-BLUE0603";"LED-0603";"Blue SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-08575";"";"";"";"BLUE";
"LED2";"Red";"LED-RED0603-SMART";"LED-0603";"Red SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-11154";"";"";"";"Red";
"LED3";"GREEN";"LED-GREEN0603";"LED-0603";"Green SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-00821";"";"";"";"GREEN";
"LED4";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-00819";"";"";"";"RED";
"OSC1";"XRCGB48M000F0L00R0";"XRCGB48M000F0L00R0";"XTAL_XRCGB24M000F0L00R0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"10k";"10KOHM-0805-1/4W-1%";"0805";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R2";"10k";"10KOHM-0805-1/4W-1%";"0805";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R3";"10k";"10KOHM-0805-1/4W-1%";"0805";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R4";"10k";"10KOHM-0805-1/4W-1%";"0805";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R5";"95.3k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"R6";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08296";"";"";"";"2.0k";
"R7";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08296";"";"";"";"2.0k";
"R8";"2.0k";"2.0KOHM-0603-1/10W-5%";"0603";"2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08296";"";"";"";"2.0k";
"R9";"24k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"R10";"1M";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"R11";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"R12";"91k-0.1%";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";"";"";
"R14";"2.0KOHM";"2.0KOHM";"0805";"2kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R21";"10k";"10KOHM-0805-1/4W-1%";"0805";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"S1";"SWITCH";"MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"";"";"";"";"";"";"SWCH-08247";"COM-08720";"";"";"";
"SV1";"";"FE08-1";"FE08";"FEMALE HEADER";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";
"U1";"LT3668EMSEPBF";"LT3668EMSEPBF";"MSOP-16_MSE";"";"";"";" LT3668 - 40V 400mA Step-Down Switching Regulator with Dual Fault Protected Tracking LDOs ";"LT3668EMSE#PBF-ND";"https://www.digikey.com/product-detail/en/linear-technology-analog-devices/LT3668EMSE-PBF/LT3668EMSE-PBF-ND/5030729?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"";"Linear Technology";"LT3668EMSE#PBF";"";"";"";"MSOP-16 Linear Technology";"";"";"";"";"";"";
"U2";"MSP432P401RIPZR";"MSP432P401RIPZR";"QFP50P1600X1600X160-100N";"Low-Power and High Performance 32-Bit ARM Cortex M4F With 256KB Flash and 64KB RAM 100-LQFP -40 to 85";"Unavailable";"";" Low-Power and High Performance 32-Bit ARM Cortex M4F With 256KB Flash and 64KB RAM 100-LQFP -40 to 85 ";"";"";"";"Texas Instruments";"MSP432P401RIPZR";"";"";"";"LQFP-100 Texas Instruments";"None";"";"";"";"";"";
